Age (ka),d18O (permil)
0,3.15837
1,3.158242
2,3.154058
3,3.14867
4,3.14435
5,3.14279
6,3.148822
7,3.163986
8,3.201792609
9,3.265432174
10,3.369587826
11,3.514624599
12,3.680535584
13,3.84768849
14,3.993584734
15,4.190172026
16,4.422250559
17,4.626176364
18,4.761570739
19,4.79469
20,4.784197503
21,4.765974112
22,4.7327031
23,4.686462897
24,4.638895299
25,4.625162376
26,4.618354821
27,4.601725062
28,4.579703729
29,4.544814891
30,4.502619389
31,4.473906711
32,4.453648805
33,4.42447245
34,4.392134902
35,4.357343128
36,4.313027135
37,4.270765791
38,4.25521
39,4.29393
40,4.345523529
41,4.37098
42,4.372093529
43,4.356472353
44,4.329025882
45,4.2907
46,4.246227647
47,4.225866318
48,4.248299956
49,4.295068529
50,4.318456885
51,4.311381911
52,4.275754504
53,4.228415197
54,4.189327317
55,4.17749619
56,4.196522653
57,4.218787795
58,4.198125653
59,4.14978
60,4.159209134
61,4.227838343
62,4.293263861
63,4.352615
64,4.394508711
65,4.416152908
66,4.43100643
67,4.43982
68,4.425668889
69,4.387227778
70,4.33335
71,4.271811111
72,4.203504444
73,4.13541
74,4.080023333
75,4.03764
76,3.9866
77,3.95116
78,3.940647778
79,3.911423333
80,3.865191111
81,3.805004444
82,3.737843333
83,3.678783333
84,3.643487778
85,3.64747
86,3.763366667
87,3.913046667
88,4.01523
89,4.026137607
90,3.933808694
91,3.875653845
92,3.841985041
93,3.815838331
94,3.792465476
95,3.770025376
96,3.745053239
97,3.716139034
98,3.688598487
99,3.670346605
100,3.659959634
101,3.657809447
102,3.665184515
103,3.680273545
104,3.699290272
105,3.719781296
106,3.740337987
107,3.758162103
108,3.769384316
109,3.77495893
110,3.787207344
111,3.801861578
112,3.920964606
113,3.935193617
114,3.886619039
115,3.817087561
116,3.727922305
117,3.62211845
118,3.51493184
119,3.425095648
120,3.33928223
121,3.241430916
122,3.152666528
123,3.091968096
124,3.053645866
125,3.029873772
126,3.029436667
127,3.12662
128,3.344756667
129,3.607263333
130,3.88978
131,4.0272
132,4.163286667
133,4.4028
134,4.580336667
135,4.701663333
136,4.74645
137,4.761891459
138,4.755591969
139,4.725218301
140,4.686672236
141,4.648346378
142,4.618605797
143,4.595525182
144,4.57140098
145,4.543688522
146,4.518172687
147,4.499993823
148,4.489556468
149,4.486610211
150,4.48725
151,4.492018186
152,4.486187037
153,4.488119231
154,4.497946714
155,4.512182232
156,4.529258547
157,4.546938063
158,4.570958194
159,4.595975299
160,4.599303561
161,4.581732051
162,4.551595641
163,4.515720161
164,4.47946792
165,4.447509848
166,4.423670114
167,4.40443321
168,4.383148784
169,4.363857179
170,4.353440199
171,4.344587683
172,4.30996384
173,4.253271462
174,4.210012507
175,4.193421814
176,4.202191994
177,4.247864274
178,4.289936011
179,4.309334049
180,4.319336467
181,4.320182089
182,4.305087037
183,4.288429772
184,4.299381586
185,4.339123504
186,4.363097652
187,4.340117407
188,4.284054122
189,4.206878443
190,4.110798291
191,3.998522032
192,3.891138405
193,3.812293831
194,3.772575347
195,3.74896661
196,3.674008965
197,3.578697531
198,3.493905698
199,3.440601092
200,3.435241323
201,3.47791293
202,3.544553313
203,3.600878677
204,3.626226152
205,3.627468396
206,3.607941665
207,3.582672191
208,3.546873243
209,3.498131595
210,3.448843392
211,3.411720342
212,3.389976801
213,3.380879403
214,3.398268481
215,3.453634863
216,3.539643376
217,3.649906758
218,3.778244604
219,3.915456041
220,4.044934573
221,4.136333891
222,4.195705652
223,4.23882727
224,4.265211535
225,4.269100853
226,4.246404676
227,4.201955899
228,4.15513578
229,4.12064884
230,4.091939309
231,4.061375734
232,4.024382304
233,3.978149829
234,3.911645141
235,3.822573464
236,3.716816471
237,3.607583259
238,3.509756368
239,3.432264232
240,3.376275973
241,3.349757201
242,3.368971429
243,3.458509841
244,3.601434048
245,3.764624762
246,3.929662778
247,4.077318889
248,4.186896429
249,4.260157143
250,4.325642698
251,4.375170299
252,4.396773503
253,4.401788457
254,4.396882055
255,4.386172498
256,4.370231915
257,4.355249769
258,4.349682247
259,4.351402129
260,4.35009611
261,4.344485065
262,4.344208511
263,4.354549259
264,4.372956452
265,4.394338076
266,4.407625719
267,4.403288033
268,4.387474993
269,4.375152521
270,4.326475252
271,4.288195226
272,4.258536117
273,4.241723374
274,4.221925768
275,4.177055037
276,4.167157542
277,4.149851249
278,4.114222567
279,4.072088411
280,4.035119865
281,4.011379068
282,4.004297598
283,4.007217315
284,4.022741407
285,4.065757851
286,4.1241734
287,4.176928541
288,4.21524978
289,4.237752974
290,4.24284863
291,4.232951746
292,4.213790379
293,4.182889624
294,4.141318854
295,4.09250869
296,4.044491896
297,4.006619386
298,3.976526692
299,3.942860523
300,3.906786782
301,3.879717138
302,3.857130068
303,3.822554739
304,3.770967315
305,3.714187723
306,3.665461466
307,3.629537997
308,3.604639443
309,3.585442513
310,3.569209919
311,3.555452051
312,3.543963751
313,3.534625182
314,3.526480021
315,3.517384552
316,3.504988355
317,3.486133751
318,3.45296228
319,3.402152893
320,3.343165032
321,3.280769709
322,3.221057117
323,3.171982578
324,3.136652869
325,3.110816298
326,3.092469691
327,3.082998678
328,3.083531274
329,3.096984237
330,3.13207348
331,3.200834941
332,3.308276583
333,3.443359536
334,3.587495272
335,3.728405542
336,3.861497675
337,3.986983603
338,4.11011724
339,4.244108913
340,4.387724017
341,4.521034633
342,4.620782429
343,4.669020253
344,4.666979479
345,4.631394085
346,4.583774733
347,4.540696083
348,4.506668869
349,4.473110729
350,4.430059808
351,4.382823708
352,4.346843025
353,4.332317858
354,4.33725457
355,4.349849824
356,4.361415731
357,4.37009692
358,4.37431828
359,4.3738934
360,4.370062746
361,4.361779031
362,4.344894806
363,4.321821974
364,4.297871965
365,4.271817807
366,4.24109662
367,4.204672287
368,4.164826312
369,4.129582513
370,4.108093274
371,4.103523818
372,4.106549879
373,4.104502024
374,4.096046954
375,4.084988745
376,4.072265304
377,4.055594303
378,4.032088057
379,4.002379243
380,3.969393272
381,3.937662311
382,3.914541511
383,3.906112235
384,3.901403768
385,3.883010081
386,3.853580169
387,3.826122336
388,3.79909168
389,3.768047545
390,3.751904684
391,3.761472425
392,3.769423987
393,3.752805566
394,3.713122479
395,3.655110748
396,3.591069697
397,3.534409696
398,3.485474882
399,3.439688675
400,3.392138328
401,3.341845204
402,3.290891999
403,3.236804434
404,3.178426424
405,3.124016133
406,3.084680833
407,3.064390249
408,3.055523654
409,3.054790197
410,3.066306582
411,3.088353936
412,3.108441297
413,3.121089772
414,3.134476525
415,3.15498354
416,3.186035956
417,3.230438112
418,3.282938349
419,3.336544399
420,3.387717857
421,3.435873021
422,3.484144905
423,3.534014499
424,3.579209457
425,3.617298258
426,3.654209308
427,3.698402084
428,3.755651715
429,3.828306486
430,3.915198442
431,4.012008763
432,4.117125236
433,4.235458472
434,4.367194823
435,4.501781762
436,4.627667331
437,4.735618289
438,4.81739732
439,4.869100287
440,4.893476281
441,4.89461458
442,4.882197585
443,4.868725632
444,4.849153857
445,4.822970701
446,4.795557224
447,4.767173399
448,4.738107308
449,4.709671731
450,4.680797152
451,4.647099543
452,4.609630579
453,4.570613225
454,4.529802163
455,4.492973232
456,4.469057369
457,4.455452442
458,4.443726261
459,4.431197092
460,4.420617368
461,4.417080498
462,4.420701798
463,4.422711082
464,4.415131346
465,4.400795798
466,4.385174525
467,4.371595782
468,4.362803999
469,4.357109668
470,4.350469042
471,4.338669148
472,4.320756606
473,4.298708216
474,4.274113153
475,4.246808808
476,4.215360261
477,4.178347447
478,4.136261407
479,4.092334723
480,4.05240947
481,4.022940917
482,4.003166709
483,3.998255136
484,4.006084447
485,4.013318502
486,4.005770075
487,3.968559007
488,3.908529838
489,3.847658249
490,3.799943304
491,3.771279184
492,3.749715078
493,3.718988031
494,3.680186544
495,3.641525106
496,3.604571457
497,3.572226957
498,3.542849662
499,3.515591457
500,3.503527756
501,3.516049149
502,3.545087042
503,3.576427119
504,3.599574445
505,3.610484491
506,3.615096966
507,3.618667801
508,3.623429177
509,3.632351524
510,3.645071986
511,3.662213924
512,3.689054644
513,3.723124188
514,3.758073156
515,3.79410097
516,3.833278231
517,3.877962698
518,3.926309509
519,3.971372674
520,4.003176034
521,4.011266617
522,4.002018618
523,3.990502157
524,3.978072687
525,3.961271729
526,3.940370668
527,3.913210263
528,3.877067316
529,3.835426051
530,3.802352514
531,3.779640785
532,3.756576813
533,3.741404144
534,3.745863595
535,3.768031816
536,3.804092537
537,3.839051234
538,3.858711561
539,3.869559905
540,3.884927228
541,3.909193428
542,3.951730987
543,4.029565049
544,4.136688187
545,4.239144236
546,4.311070144
547,4.355016226
548,4.379194281
549,4.389879675
550,4.38961732
551,4.381762856
552,4.373058522
553,4.366069851
554,4.361951772
555,4.363271529
556,4.362280764
557,4.349295067
558,4.327150608
559,4.299249219
560,4.264156822
561,4.220216576
562,4.171262733
563,4.128263742
564,4.092708179
565,4.054322858
566,4.00566456
567,3.946991701
568,3.894222076
569,3.853917641
570,3.815134213
571,3.782032204
572,3.766296599
573,3.758102582
574,3.746950192
575,3.723445688
576,3.67349906
577,3.592778945
578,3.498742006
579,3.413430704
580,3.349004613
581,3.313940216
582,3.307113603
583,3.327570319
584,3.380865504
585,3.476353292
586,3.613317248
587,3.768940434
588,3.907814094
589,4.004155755
590,4.058495761
591,4.08431618
592,4.084891298
593,4.062985897
594,4.024065618
595,3.976060917
596,3.926936936
597,3.881688079
598,3.846020305
599,3.823452473
600,3.810533603
601,3.807222004
602,3.818002417
603,3.837341068
604,3.852394635
605,3.85650602
606,3.847937226
607,3.821908846
608,3.776680682
609,3.722790496
610,3.673739847
611,3.632729532
612,3.591238041
613,3.540352911
614,3.481231713
615,3.425452617
616,3.386243501
617,3.372538624
618,3.384833693
619,3.415450222
620,3.460681923
621,3.525458715
622,3.6055219
623,3.686763364
624,3.763872612
625,3.841166249
626,3.925270274
627,4.021747589
628,4.136132582
629,4.268334391
630,4.406900771
631,4.537237111
632,4.652487132
633,4.75103303
634,4.825914165
635,4.867149412
636,4.870202027
637,4.846573199
638,4.81182521
639,4.780124126
640,4.761711008
641,4.750306091
642,4.736054629
643,4.719508529
644,4.701555592
645,4.682386317
646,4.663275185
647,4.644453262
648,4.624875164
649,4.600079252
650,4.568329277
651,4.536056559
652,4.511452874
653,4.496940077
654,4.490898511
655,4.491060611
656,4.493783004
657,4.494708086
658,4.490575314
659,4.477229102
660,4.451819679
661,4.420779232
662,4.396922198
663,4.386253526
664,4.383584926
665,4.380734836
666,4.373261671
667,4.359261596
668,4.342235509
669,4.330691064
670,4.324900858
671,4.320092047
672,4.312862367
673,4.304522468
674,4.296147949
675,4.282177457
676,4.261760214
677,4.237046986
678,4.2091701
679,4.177866642
680,4.144349584
681,4.111748508
682,4.080830768
683,4.048978132
684,4.000621921
685,3.797867968
686,3.75837914
687,3.753466689
688,3.748535842
689,3.740848275
690,3.728976037
691,3.710656451
692,3.684823884
693,3.652740776
694,3.617904006
695,3.58512066
696,3.558277209
697,3.537937089
698,3.524458229
699,3.517332736
700,3.51681128
701,3.523665753
702,3.538407461
703,3.560097405
704,3.583907122
705,3.602390688
706,3.610189181
707,3.608714126
708,3.606393931
709,3.61098666
710,3.624032872
711,3.643601521
712,3.66449042
713,3.683033664
714,3.700730547
715,3.721474465
716,3.746426242
717,3.774491485
718,3.805151907
719,3.838528965
720,3.877764097
721,3.928058952
722,3.988677998
723,4.048430531
724,4.095095954
725,4.124098551
726,4.137990137
727,4.227886722
728,4.341893611
729,4.341501801
730,4.281362289
731,4.218388448
732,4.153632654
733,4.092159308
734,4.036689097
735,3.987437312
736,3.951417225
737,3.934348109
738,3.932018466
739,3.938256234
740,3.954471614
741,3.981243785
742,4.013231007
743,4.046060167
744,4.069773925
745,4.078313777
746,4.084642965
747,4.110613004
748,4.171814837
749,4.264605377
750,4.357503647
751,4.412127452
752,4.416674098
753,4.388197348
754,4.35353402
755,4.326920845
756,4.307325136
757,4.291410813
758,4.266605489
759,4.223265541
760,4.167098076
761,4.109714862
762,4.058486428
763,4.011982482
764,3.965648281
765,3.925504774
766,3.899473639
767,3.886320353
768,3.878276671
769,3.873391652
770,3.877340031
771,3.874701042
772,3.840977183
773,3.778791314
774,3.709644038
775,3.650016835
776,3.600039698
777,3.555463758
778,3.510984155
779,3.46674567
780,3.439361245
781,3.42890492
782,3.416564536
783,3.40042631
784,3.38526187
785,3.377895602
786,3.383417866
787,3.400137828
788,3.435224209
789,3.498007025
790,3.587684778
791,3.69687124
792,3.811938398
793,3.922092926
794,4.033762081
795,4.16081322
796,4.295579725
797,4.405407343
798,4.468231115
799,4.493381454
800,4.495965344
801,4.481312566
802,4.450611931
803,4.41298352
804,4.382947122
805,4.362182783
806,4.342132328
807,4.314333214
808,4.279741427
809,4.240365459
810,4.196065178
811,4.153988601
812,4.116495169
813,4.072328857
814,4.018489367
815,3.965410224
816,3.917179393
817,3.865404198
818,3.805905234
819,3.749909322
820,3.706732858
821,3.67195227
822,3.642009308
823,3.623722692
824,3.632320908
825,3.670642242
826,3.732680711
827,3.806022169
828,3.858895253
829,3.86973084
830,3.849620469
831,3.820637283
832,3.79487245
833,3.772567434
834,3.747751807
835,3.723592926
836,3.707069238
837,3.705167752
838,3.72159589
839,3.741986891
840,3.739406332
841,3.715257841
842,3.691914247
843,3.672344246
844,3.643617542
845,3.603925687
846,3.566935043
847,3.539114761
848,3.508447737
849,3.466770086
850,3.426424278
851,3.409127064
852,3.428686489
853,3.475626823
854,3.519555033
855,3.542809495
856,3.535573089
857,3.50670174
858,3.471512854
859,3.434906094
860,3.397363992
861,3.361057063
862,3.332972654
863,3.321819522
864,3.32999977
865,3.352861741
866,3.387803057
867,3.44033785
868,3.519399222
869,3.63185125
870,3.778176779
871,3.939578028
872,4.089471068
873,4.217439428
874,4.327212313
875,4.421578206
876,4.496356624
877,4.546604676
878,4.571408227
879,4.56755507
880,4.545892838
881,4.517490948
882,4.48279587
883,4.445470592
884,4.413049102
885,4.389185432
886,4.37181732
887,4.356362328
888,4.339716541
889,4.325493152
890,4.319576793
891,4.318380045
892,4.313637292
893,4.298759519
894,4.278379464
895,4.252465872
896,4.221005134
897,4.181623295
898,4.136281954
899,4.091757868
900,4.049103619
901,4.004408512
902,3.962417567
903,3.93304207
904,3.917191099
905,3.909596084
906,3.907698347
907,3.912140259
908,3.919195486
909,3.919071447
910,3.908835263
911,3.895028461
912,3.885436053
913,3.883590625
914,3.890695803
915,3.908878629
916,3.943455885
917,4.002530386
918,4.08707487
919,4.185095574
920,4.277691606
921,4.345022285
922,4.375816841
923,4.363764985
924,4.31417905
925,4.249759852
926,4.185090888
927,4.129254757
928,4.086677439
929,4.043852843
930,3.997318164
931,3.950908827
932,3.901134003
933,3.850995461
934,3.809898837
935,3.774900663
936,3.737392054
937,3.691883694
938,3.646530642
939,3.615747768
940,3.596060238
941,3.575238646
942,3.544816517
943,3.502475872
944,3.453840461
945,3.407754215
946,3.369093956
947,3.337721025
948,3.309251803
949,3.279782684
950,3.255883943
951,3.242879188
952,3.229693828
953,3.21086018
954,3.195534226
955,3.19391188
956,3.195204176
957,3.193990491
958,3.204014939
959,3.265225131
960,3.409094881
961,3.61283696
962,3.814160705
963,3.980226819
964,4.105772179
965,4.189720356
966,4.238835463
967,4.25632268
968,4.241729096
969,4.200467559
970,4.145924472
971,4.082716669
972,4.009684335
973,3.9338363
974,3.862767682
975,3.806729259
976,3.766650943
977,3.733873861
978,3.70322332
979,3.672661294
980,3.643565775
981,3.62302519
982,3.620004523
983,3.646848854
984,3.710646489
985,3.798935261
986,3.876547496
987,3.927833207
988,3.965652395
989,3.997744941
990,4.009899492
991,3.994306414
992,3.958965885
993,3.916589197
994,3.873927357
995,3.833871486
996,3.80087496
997,3.771209076
998,3.741257228
999,3.706009177
1000,3.672480288
1001,3.654130833
1002,3.654775048
1003,3.67119461
1004,3.70457065
1005,3.773911555
1006,3.88872959
1007,4.009061819
1008,4.084346135
1009,4.105637471
1010,4.089348465
1011,4.052980842
1012,4.014436626
1013,3.979687624
1014,3.944055899
1015,3.907080472
1016,3.869934019
1017,3.826714733
1018,3.777229271
1019,3.733426123
1020,3.702985086
1021,3.691426038
1022,3.696449642
1023,3.691906629
1024,3.661202423
1025,3.612884808
1026,3.55937752
1027,3.514554849
1028,3.495905323
1029,3.509972554
1030,3.541396565
1031,3.57256211
1032,3.602402683
1033,3.639757851
1034,3.693809852
1035,3.772095716
1036,3.876242244
1037,3.99123719
1038,4.088591575
1039,4.153530606
1040,4.196092706
1041,4.224120228
1042,4.233868937
1043,4.228717172
1044,4.221999562
1045,4.218622245
1046,4.210669893
1047,4.194225611
1048,4.1742156
1049,4.150949964
1050,4.120016482
1051,4.085994809
1052,4.05673501
1053,4.033677696
1054,4.014947959
1055,3.994226437
1056,3.959231753
1057,3.905287392
1058,3.839404858
1059,3.772141674
1060,3.712031127
1061,3.657876296
1062,3.602079787
1063,3.539679534
1064,3.471044878
1065,3.4001676
1066,3.335810391
1067,3.286635612
1068,3.252766784
1069,3.228873339
1070,3.205861606
1071,3.178244952
1072,3.152919405
1073,3.141105484
1074,3.148385231
1075,3.16866926
1076,3.20185226
1077,3.251976249
1078,3.309839302
1079,3.363885071
1080,3.409941809
1081,3.451195468
1082,3.490151093
1083,3.519371386
1084,3.533362876
1085,3.545452456
1086,3.558582388
1087,3.569676688
1088,3.584338466
1089,3.601090062
1090,3.621945203
1091,3.650977184
1092,3.687677835
1093,3.720425978
1094,3.742299947
1095,3.763603359
1096,3.7877621
1097,3.812375168
1098,3.84045353
1099,3.868551781
1100,3.899044564
1101,3.926441326
1102,3.944261766
1103,3.951047007
1104,3.948023352
1105,3.939946453
1106,3.928245228
1107,3.908939613
1108,3.872233213
1109,3.814148806
1110,3.752510571
1111,3.705268178
1112,3.673831532
1113,3.652107917
1114,3.636182794
1115,3.631202782
1116,3.641631767
1117,3.6658499
1118,3.701855974
1119,3.743578752
1120,3.78412141
1121,3.821408022
1122,3.860422636
1123,3.90538719
1124,3.956665977
1125,4.011390356
1126,4.063266516
1127,4.107156906
1128,4.144869361
1129,4.1825979
1130,4.219298642
1131,4.245289784
1132,4.24929446
1133,4.22826597
1134,4.200251253
1135,4.166629669
1136,4.118441467
1137,4.059553635
1138,3.995987428
1139,3.930986345
1140,3.869830787
1141,3.822451413
1142,3.799922179
1143,3.801677038
1144,3.808337002
1145,3.799347571
1146,3.77443938
1147,3.744673591
1148,3.718319353
1149,3.705423608
1150,3.698198749
1151,3.673524261
1152,3.631461089
1153,3.589736121
1154,3.558147657
1155,3.532077725
1156,3.505019088
1157,3.479203363
1158,3.460401038
1159,3.44720401
1160,3.435726652
1161,3.423281724
1162,3.412306502
1163,3.407154727
1164,3.403094387
1165,3.398549698
1166,3.395811663
1167,3.390664932
1168,3.387631394
1169,3.397997468
1170,3.420177073
1171,3.44297376
1172,3.461695296
1173,3.477241764
1174,3.484663704
1175,3.481638278
1176,3.477984771
1177,3.483807931
1178,3.495190515
1179,3.504408275
1180,3.514421002
1181,3.525756381
1182,3.532439908
1183,3.535357863
1184,3.538492422
1185,3.542182043
1186,3.546663679
