,age(kyr),mean(permil),sigma(permil)
0,0,3.18858,0.124171
1,1,3.187064,0.119314
2,2,3.165424,0.116369
3,3,3.162603,0.109763
4,4,3.180303,0.109315
5,5,3.196604,0.109811
6,6,3.216755,0.107897
7,7,3.250561,0.127418
8,8,3.299535,0.164768
9,9,3.403244,0.202195
10,10,3.566408,0.220601
11,11,3.736076,0.208944
12,12,3.877918,0.18478
13,13,3.980795,0.182358
14,14,4.114533,0.215937
15,15,4.293652,0.23911
16,16,4.489613,0.226214
17,17,4.656297,0.181894
18,18,4.802545,0.138773
19,19,4.879514,0.100291
20,20,4.875448,0.084645
21,21,4.855507,0.087211
22,22,4.824693,0.095135
23,23,4.781752,0.103642
24,24,4.743219,0.108709
25,25,4.717993,0.112736
26,26,4.693275,0.116405
27,27,4.676527,0.114172
28,28,4.672046,0.106221
29,29,4.638962,0.109742
30,30,4.582902,0.129623
31,31,4.536306,0.141032
32,32,4.517633,0.128005
33,33,4.496621,0.110507
34,34,4.463093,0.10843
35,35,4.428169,0.11885
36,36,4.420113,0.13771
37,37,4.429396,0.148476
38,38,4.447674,0.142533
39,39,4.458125,0.126611
40,40,4.446523,0.109683
41,41,4.438593,0.104224
42,42,4.424082,0.108758
43,43,4.396573,0.121245
44,44,4.333469,0.129143
45,45,4.281416,0.131102
46,46,4.21729,0.144216
47,47,4.257673,0.144342
48,48,4.373479,0.120692
49,49,4.402409,0.107557
50,50,4.385165,0.125333
51,51,4.359227,0.157531
52,52,4.310254,0.155776
53,53,4.251178,0.138749
54,54,4.262773,0.138677
55,55,4.301146,0.141324
56,56,4.294742,0.136837
57,57,4.266917,0.12526
58,58,4.262995,0.124166
59,59,4.24625,0.149222
60,60,4.210045,0.180146
61,61,4.245776,0.180891
62,62,4.319199,0.15915
63,63,4.390002,0.135274
64,64,4.475586,0.109804
65,65,4.517518,0.089004
66,66,4.515277,0.086072
67,67,4.487816,0.092007
68,68,4.451511,0.103188
69,69,4.393524,0.120686
70,70,4.31446,0.137568
71,71,4.240514,0.150135
72,72,4.179796,0.156328
73,73,4.128365,0.155719
74,74,4.087846,0.152356
75,75,4.042317,0.150899
76,76,4.002934,0.146923
77,77,3.989847,0.136831
78,78,3.966453,0.124812
79,79,3.927595,0.114388
80,80,3.881227,0.109303
81,81,3.813146,0.11148
82,82,3.738808,0.118499
83,83,3.679079,0.131868
84,84,3.677756,0.152755
85,85,3.7425,0.182137
86,86,3.838731,0.213171
87,87,3.946031,0.228925
88,88,4.020347,0.223193
89,89,4.04162,0.205792
90,90,4.034392,0.184445
91,91,4.020209,0.159896
92,92,4.005296,0.135669
93,93,3.970462,0.117493
94,94,3.911032,0.104416
95,95,3.839154,0.097174
96,96,3.785493,0.098419
97,97,3.72889,0.108086
98,98,3.684605,0.115369
99,99,3.676758,0.116557
100,100,3.68054,0.118206
101,101,3.691474,0.120476
102,102,3.705007,0.125153
103,103,3.722996,0.133008
104,104,3.763057,0.142287
105,105,3.835122,0.148092
106,106,3.900344,0.149153
107,107,3.924667,0.145632
108,108,3.9459,0.145903
109,109,4.011297,0.146253
110,110,4.051605,0.138845
111,111,4.022513,0.127449
112,112,3.947039,0.115504
113,113,3.855326,0.108408
