age (kyr),d18O (permil),d18O sigma (permil)
0,3.144416,0.130136
1,3.1523,0.126798
2,3.179328,0.128429
3,3.201439,0.129592
4,3.2026,0.131054
5,3.216875,0.132283
6,3.280404,0.13732
7,3.363046,0.158478
8,3.474008,0.195317
9,3.585442,0.229233
10,3.685274,0.230355
11,3.78778,0.21165
12,3.907939,0.190959
13,4.032442,0.175786
14,4.17628,0.167911
15,4.343899,0.161836
16,4.494096,0.155406
17,4.62811,0.147293
18,4.726175,0.136467
19,4.743477,0.13029
20,4.741137,0.129164
21,4.726197,0.124519
22,4.718299,0.117063
23,4.696043,0.114182
24,4.678107,0.111735
25,4.670488,0.108786
26,4.659102,0.111496
27,4.6381,0.123151
28,4.601508,0.135783
29,4.559096,0.141116
30,4.5213,0.139098
31,4.501914,0.134118
32,4.496709,0.129918
33,4.468368,0.124011
34,4.434558,0.116017
35,4.398704,0.109563
36,4.369175,0.107023
37,4.353703,0.107528
38,4.351784,0.109509
39,4.362821,0.110244
40,4.370416,0.111437
41,4.36172,0.116062
42,4.338221,0.123605
43,4.314557,0.129418
44,4.313927,0.12701
45,4.30574,0.119273
46,4.30251,0.113695
47,4.286394,0.111449
48,4.288439,0.109476
49,4.293429,0.107869
50,4.2916,0.107541
51,4.250745,0.110041
52,4.196561,0.112498
53,4.183636,0.111701
54,4.202592,0.108552
55,4.20782,0.109047
56,4.194363,0.115665
57,4.204148,0.123603
58,4.226101,0.133011
59,4.24123,0.14322
60,4.277029,0.148046
61,4.326572,0.141615
62,4.376766,0.129439
63,4.400779,0.11806
64,4.418609,0.110318
65,4.433987,0.107275
66,4.450093,0.106589
67,4.446418,0.107193
68,4.417985,0.110513
69,4.375927,0.117841
70,4.331434,0.128655
71,4.288121,0.140477
72,4.235982,0.150226
73,4.180421,0.155385
74,4.129892,0.154804
75,4.08931,0.149301
76,4.045692,0.140677
77,4.005725,0.132677
78,3.979011,0.126337
79,3.96311,0.121698
80,3.92646,0.117769
81,3.873115,0.114981
82,3.798835,0.116104
83,3.730408,0.121473
84,3.690093,0.128763
85,3.6783,0.13506
86,3.74695,0.138074
87,3.854249,0.137813
88,3.940268,0.136949
89,3.999801,0.137569
90,4.017064,0.135669
91,3.997451,0.134061
92,3.971184,0.130702
93,3.937826,0.1285
94,3.899873,0.128611
95,3.867062,0.130132
96,3.825064,0.130281
97,3.794142,0.127886
98,3.777239,0.124862
99,3.762837,0.123145
100,3.738091,0.1254
101,3.732629,0.131409
102,3.742047,0.139257
103,3.754785,0.145351
104,3.776124,0.148755
105,3.792928,0.149266
106,3.816768,0.148924
107,3.853105,0.148793
108,3.876664,0.150842
109,3.892948,0.157469
