Age (ka),d18O (permil)
0,3.158369
1,3.158211191
2,3.151713121
3,3.145175966
4,3.142602026
5,3.147880531
6,3.166738021
7,3.206939191
8,3.250439131
9,3.308997096
10,3.391196934
11,3.496231277
12,3.609829967
13,3.731576548
14,3.846350479
15,3.949497796
16,4.062657746
17,4.205615951
18,4.376468868
19,4.535161916
20,4.660817169
21,4.750503053
22,4.792736046
23,4.79267868
24,4.781904953
25,4.768383493
26,4.738966445
27,4.700216659
28,4.65935266
29,4.628849821
30,4.623653829
31,4.61877929
32,4.602143894
33,4.586066716
34,4.557054048
35,4.518993678
36,4.486965069
37,4.46658
38,4.447903309
39,4.421484982
40,4.391735921
41,4.365403086
42,4.32490789
43,4.283649423
44,4.259331726
45,4.273420249
46,4.321481242
47,4.367259799
48,4.377696421
49,4.363792822
50,4.335717651
51,4.295166994
52,4.239356779
53,4.226295739
54,4.265062322
55,4.309160196
56,4.318196268
57,4.288557065
58,4.231376929
59,4.175569133
60,4.169815192
61,4.219411783
62,4.220704059
63,4.163162582
64,4.144447058
65,4.196433426
66,4.25926084
67,4.317216657
68,4.369812592
69,4.401916366
70,4.418016198
71,4.430193105
72,4.439308742
73,4.426829518
74,4.383121398
75,4.319423844
76,4.248232252
77,4.165260336
78,4.094179541
79,4.04682029
80,3.989985037
81,3.948084499
82,3.939457611
83,3.898570423
84,3.839588518
85,3.76177538
86,3.68803089
87,3.642238749
88,3.649386509
89,3.730070245
90,3.848725991
91,3.956166373
92,4.019380996
93,4.026924566
94,3.896355389
95,3.857908858
96,3.826666089
97,3.799672
98,3.775168039
99,3.748008644
100,3.715252149
101,3.685781589
102,3.666982101
103,3.657561606
104,3.658699767
105,3.672653374
106,3.693190953
107,3.715957982
108,3.739639537
109,3.760674881
110,3.771190182
111,3.777734541
112,3.793198183
113,3.859273455
114,3.946942786
115,3.900947555
116,3.82733032
117,3.729195065
118,3.603501433
119,3.48822433
120,3.396100217
121,3.293523522
122,3.180725648
123,3.099296558
124,3.056085138
125,3.028943004
126,3.024716372
127,3.080803884
128,3.213758775
